   1819734
                    5.372491e+00   -3.046238e+00    9.448630e-02
                    5.782562e+00   -1.028011e+00   -5.291233e-02
                    6.808683e+00   -6.670733e-01   -1.812247e+00
                    6.942853e+00   -4.478651e-01    1.557134e+00
                    3.376940e+00    2.947973e-01   -4.157397e-02
                    2.940414e+00    2.861045e+00   -1.492884e-01
                    4.501327e+00    4.187633e+00   -2.551130e-01
                    5.499103e-01    3.486544e+00   -1.114938e-01
                   -6.784116e-01    1.179189e+00    3.023562e-02
                   -3.255998e+00    5.026671e-01    1.247219e-01
                   -5.115488e+00    2.256333e+00    1.322808e-01
                   -6.918287e+00    1.662959e+00    7.558904e-03
                   -4.680851e+00    4.085588e+00   -1.530678e-01
                   -3.877718e+00   -1.952087e+00    2.362157e-01
                   -1.999330e+00   -3.662289e+00    2.664514e-01
                   -2.613491e+00   -5.627604e+00    3.609377e-01
                    4.856596e-01   -3.290013e+00    1.946418e-01
                    1.029901e+00   -8.163616e-01    7.369931e-02
    1.490071e-02    7.251293e+00   -5.596168e+00   -1.221656e-01
    1.637081e-02    7.574401e+00   -5.322997e+00   -1.221656e-01
    1.777079e-02    7.858217e+00   -5.009196e+00   -1.221656e-01
    1.924604e-02    8.097675e+00   -4.660367e+00   -1.221656e-01
    2.097043e-02    8.288502e+00   -4.282734e+00   -1.221656e-01
   -2.006290e-02    3.942454e+00   -5.806085e+00   -5.514336e-01
   -1.126171e-02    4.331573e+00   -5.975103e+00   -5.514336e-01
   -4.474892e-03    4.740081e+00   -6.089562e+00   -5.514336e-01
    7.858455e-04    5.160371e+00   -6.147330e+00   -5.514336e-01
    4.897658e-03    5.584612e+00   -6.147330e+00   -5.514336e-01
    8.139556e-03    6.004901e+00   -6.089562e+00   -5.514336e-01
    1.072190e-02    6.413410e+00   -5.975103e+00   -5.514336e-01
    1.281161e-02    6.802529e+00   -5.806085e+00   -5.514336e-01
    1.455106e-02    7.165008e+00   -5.585656e+00   -5.514336e-01
    1.607273e-02    7.494097e+00   -5.317923e+00   -5.514336e-01
    1.751166e-02    7.783664e+00   -5.007873e+00   -5.514336e-01
    1.901783e-02    8.028315e+00   -4.661281e+00   -5.514336e-01
    2.077148e-02    8.223494e+00   -4.284604e+00   -5.514336e-01
   -2.404562e-02    3.755200e+00   -5.562792e+00   -9.686694e-01
   -1.461035e-02    4.129805e+00   -5.767342e+00   -9.686694e-01
   -7.183048e-03    4.529707e+00   -5.916498e+00   -9.686694e-01
   -1.378609e-03    4.946766e+00   -6.007223e+00   -9.686694e-01
    3.169422e-03    5.372491e+00   -6.037672e+00   -9.686694e-01
    6.753395e-03    5.798217e+00   -6.007223e+00   -9.686694e-01
    9.600007e-03    6.215275e+00   -5.916498e+00   -9.686694e-01
    1.189023e-02    6.615178e+00   -5.767342e+00   -9.686694e-01
    1.377763e-02    6.989782e+00   -5.562792e+00   -9.686694e-01
